Fine_Mode_AOD,Coarse_Mode_AOD,FineModeFraction,Angstrom_Exponent(AE),AI,AT,CO_MF,HCHO_Amount,NO2_Column,Scattering_angle,SO2_Column,SSA,Aerosol_Type
0.153399,0.620924,0.197991,0.035522,1.75,303.983948,121.874774,1.78E+15,2.02E+15,172.93009,0.1,0.95,UN
0.101856,0.43745,0.188318,0.093171,1.54,305.984985,122.141491,-4.34E+14,1.80E+15,113.403605,0.13,0.94,DU
0.081655,0.232127,0.258019,0.392324,0.11,303.960144,112.624444,4.66E+15,3.63E+15,142.660103,0.4,0.95,UN
0.087111,0.317203,0.214406,0.253733,0.85,302.499573,113.099127,3.12E+15,1.45E+15,163.346329,0.03,0.9,DU
0.080795,0.284463,0.225118,0.319658,0.54,302.656372,110.416444,3.61E+15,1.86E+15,109.846572,0.14,0.94,DU
0.071642,0.308755,0.188368,0.222895,0.93,304.061829,113.505144,3.65E+15,1.88E+15,170.27814,0.17,0.95,UN
0.075372,0.066004,0.531965,1.105589,0.28,303.270447,112.146304,2.13E+15,2.71E+15,151.138856,0.16,0.95,MX
0.093416,0.055034,0.629327,1.312463,-0.25,306.437378,108.939434,3.28E+15,2.46E+15,108.399998,0.09,0.94,SA
0.083615,0.069193,0.546683,1.154022,0.11,306.326416,105.884148,4.11E+15,2.62E+15,172.087475,0.04,0.94,MX
0.157323,0.245117,0.3903,0.746261,0.1,305.523224,113.531767,4.79E+15,2.67E+15,143.385155,0.31,0.95,UN
0.12396,0.187484,0.395781,0.780081,0.63,303.874115,107.686225,5.60E+15,1.20E+15,162.678821,0.15,0.95,UN
0.128335,0.162889,0.438916,0.86462,0.53,303.186829,106.115029,4.81E+15,2.22E+15,109.06659,0.1,0.95,MX
0.107481,0.158588,0.401447,0.766798,0.56,303.905914,107.422341,5.35E+15,2.23E+15,170.863016,0.19,0.95,MX
0.173369,0.492438,0.26119,0.327731,1.33,301.09375,123.458449,4.35E+15,2.28E+15,150.573927,0.09,0.97,UN
0.254068,0.688336,0.269397,0.326253,1.63,300.625427,108.702294,3.93E+15,2.15E+15,107.44498,0.1,0.96,UN
0.218452,0.601832,0.266984,0.331125,1.38,301.8125,109.721441,3.87E+15,2.37E+15,172.467299,0.09,0.96,UN
0.201518,0.292131,0.41536,0.765351,-0.28,302.406799,108.781704,4.80E+15,2.27E+15,144.58012,0.2,0.99,MX
0.275336,0.522091,0.346678,0.528311,1.25,301.791321,108.22667,4.31E+15,1.77E+15,172.448263,0.02,0.97,UN
0.183324,0.274917,0.400294,0.675337,0.92,302.376038,113.891304,2.43E+15,1.70E+15,149.986577,-0.07,0.94,MX
0.161343,0.288971,0.359863,0.597398,0.57,305.036133,110.724438,5.81E+15,1.60E+15,106.389998,0.09,0.96,UN
0.173376,0.249082,0.409478,0.705422,0.81,306.217438,112.324027,3.76E+15,1.69E+15,173.469614,0.03,0.95,MX
0.168106,0.248837,0.407012,0.736957,0.44,305.437378,118.232689,6.04E+15,1.57E+15,110.966149,0.21,0.96,MX
0.101547,0.117594,0.462441,0.91355,-0.08,306.418671,109.321777,3.65E+15,1.84E+15,145.832752,0.2,0.95,MX
0.12131,0.259293,0.335518,0.589077,1.22,305.388245,108.562418,4.40E+15,1.92E+15,161.634103,0.04,0.96,UN
0.114689,0.521799,0.182312,0.194419,1.4,304.497192,108.378418,5.84E+15,2.25E+15,107.05424,0.06,0.95,UN
0.401955,0.345871,0.537064,0.953219,0.87,302.269562,120.05708,2.55E+15,2.32E+15,147.294632,0.21,0.95,MX
0.250617,0.312891,0.446962,0.799919,0.47,305.119568,116.619344,3.13E+15,1.62E+15,104.569998,0.14,0.97,MX
0.235327,0.189336,0.555175,0.991407,0.82,304.316162,117.178445,3.08E+15,1.62E+15,169.209185,0.08,0.97,MX
0.179021,0.146807,0.548511,1.07175,0.54,306.296936,124.659402,3.43E+15,1.75E+15,108.976308,0.06,0.98,MX
0.284659,0.206441,0.579656,1.084843,0.18,304.401154,118.213336,1.77E+15,2.15E+15,146.198123,0.34,0.97,MX
0.297021,0.269518,0.523784,0.988691,0.88,301.792358,114.629512,7.89E+15,3.08E+15,168.764497,0.34,0.97,MX
0.173945,0.214582,0.448637,0.88231,0.41,301.658356,117.259436,4.76E+15,2.11E+15,103.789998,0.3,0.96,MX
0.242727,0.314879,0.435158,0.832709,1.02,301.519745,125.456087,3.94E+15,2.23E+15,164.347505,0.29,0.94,MX
0.232104,0.212788,0.52021,1.026112,0.87,301.313171,113.621149,4.79E+15,1.92E+15,154.25848,0.18,0.97,MX
0.158195,0.231161,0.406191,0.712612,0.78,302.749847,112.074115,5.60E+15,2.05E+15,142.64311,0.12,0.95,MX
0.165038,0.316235,0.342899,0.590171,0.83,303.702515,119.571599,4.19E+15,1.68E+15,102.869998,0.08,0.95,UN
0.195255,0.301131,0.39581,0.760454,0.92,303.843414,118.885145,5.76E+15,2.06E+15,158.71542,0.42,0.95,UN
0.165501,0.206459,0.441063,0.835003,0.93,305,117.46306,4.49E+15,3.19E+15,107.129222,0.17,0.92,MX
0.163129,0.191553,0.458877,0.929511,0.24,304.997345,117.407725,8.20E+15,3.48E+15,142.190843,0.35,0.94,MX
0.181682,0.196208,0.480242,0.987883,0.63,303.39328,121.039564,3.71E+15,2.87E+15,103.462172,0.21,0.93,MX
0.223967,0.304065,0.421403,0.77753,0.88,301.394409,118.103481,6.81E+15,2.44E+15,139.363516,0.24,0.94,MX
0.149844,0.215655,0.40842,0.792247,0.69,304.062378,115.960056,6.04E+15,2.55E+15,101.695297,0.29,0.95,MX
0.117996,0.141191,0.450818,0.907179,0.54,302.702972,114.893374,1.76E+15,2.17E+15,152.938246,0.25,0.93,MX
0.106661,0.112846,0.475707,0.983877,0.63,301.203278,123.036013,3.41E+15,2.99E+15,105.81931,0.3,0.91,MX
0.193048,0.17543,0.519968,0.99876,0.36,304.620148,116.438924,4.10E+15,3.15E+15,139.435949,0.43,0.94,MX
0.12531,0.184091,0.40513,0.803226,0.75,303.579163,114.135086,3.48E+15,3.36E+15,102.044839,0.18,0.93,MX
0.123326,0.110662,0.526039,1.055157,0.58,303.188934,109.067272,4.66E+15,2.01E+15,136.991019,0.21,0.94,MX
0.209366,0.14048,0.600103,1.161841,0.69,302.266998,109.678515,5.78E+15,3.82E+15,99.9824361,0.5,0.9,MA
0.269711,0.188769,0.586712,1.025655,0.6,300.235535,112.126355,8.82E+15,3.49E+15,137.843687,0.37,0.96,MX
0.089865,0.098185,0.473394,0.889491,0.62,300.281921,103.42,6.10E+15,1.90E+15,97.8099978,0.36,0.92,MX
0.079657,0.073512,0.517983,1.062242,0.45,299.875305,111.596522,6.81E+15,1.71E+15,142.620755,0.23,0.94,MX
0.095438,0.035177,0.701851,1.407981,0.24,299.017212,96.2026603,4.40E+15,1.36E+15,135.403546,0.08,0.95,SA
0.107077,0.0896,0.560321,1.049367,0.24,300.814819,115.84477,5.06E+15,1.66E+15,97.6725419,-0.05,0.94,MX
0.023341,0.032101,0.416495,0.854096,0.14,299.000885,115.157045,1.85E+15,3.86E+15,127.62173,-0.04,0.93,MX
0.08143,0.043132,0.578601,1.159509,0.4,299.344177,112.245573,5.18E+15,4.35E+15,95.4799979,0.62,0.94,MX
0.100226,0.064273,0.607848,1.286382,0.16,299.791779,120.01545,3.41E+15,2.25E+15,139.168211,0.77,0.96,NAs
0.080774,0.071132,0.529052,1.015305,0.77,298.716888,134.80648,5.19E+15,4.01E+15,99.0172069,0.26,0.89,MX
0.212915,0.055216,0.792603,1.521814,0.48,299.657898,104.269,-2.07E+15,1.79E+15,135.00109,0.26,0.92,SA
0.080797,0.071696,0.530183,1.067741,0.58,299.047699,121.196007,4.09E+15,3.62E+15,95.3375948,0.33,0.93,MX
0.021182,0.043686,0.324336,0.661517,0.47,294.313812,97.6703001,4.08E+15,1.71E+15,93.3099979,-0.04,0.91,DU
0.066912,0.448956,0.129667,0.076994,0.74,294.376221,100.014749,8.77E+14,3.73E+15,137.383123,0.1,0.94,DU
0.046874,0.180572,0.208637,0.33123,0.98,294.296722,113.190851,1.23E+14,2.49E+15,96.8246629,0.07,0.88,DU
0.127488,0.146525,0.467047,0.893055,0.36,298.471069,114.907156,5.00E+15,2.39E+15,135.921037,0.25,0.95,MX
0.099387,0.22769,0.306776,0.466105,0.97,297.768555,115.875208,2.87E+13,2.59E+15,93.417542,0.28,0.95,UN
0.048513,0.085145,0.362149,0.677682,0.49,295.346405,110.920926,5.36E+15,1.91E+15,91.699998,0.01,0.93,DU
0.034662,0.028418,0.549295,1.279539,0.15,295.407349,109.075071,4.83E+13,2.80E+15,137.375402,0.39,0.94,MX
0.077117,0.041196,0.64738,1.301781,0.17,295.610321,115.820181,3.44E+15,2.53E+15,95.3397687,0.07,0.98,NAs
0.093978,0.066893,0.600742,1.111294,0.35,296.922577,117.691888,4.68E+15,3.52E+15,137.976055,0.11,0.98,NAs
0.059878,0.04844,0.554084,1.160901,0.25,295.405487,140.173693,4.33E+15,2.31E+15,95.0945571,0.04,0.94,MX
0.247438,0.213276,0.534786,1.017855,0.51,299.76767,128.585238,5.65E+15,5.45E+15,140.731055,0.31,0.97,MX
0.193705,0.201077,0.489552,0.930176,0.83,299.672913,132.138573,4.67E+15,4.52E+15,92.5674539,0.48,1,MX
0.140952,0.126733,0.524057,1.05663,0.37,299.36087,140.065551,5.16E+15,3.99E+15,91.9053329,0.57,0.94,MX
